"h10_g3","h10_g4","h10_g10","h10_g11","h10_eco9","h10_reg7","p1002_8aq1"
1,1952,3,2,,3,
2,1943,2,1,,3,
1,1992,5,2,,3,
1,1941,1,1,,3,
2,1945,1,1,,3,
1,1941,1,1,,3,
2,1946,1,1,,3,
1,1973,1,2,254,3,
2,1978,1,2,313,3,363.3
2,2012,0,2,,3,
2,2014,0,2,,3,
2,1972,3,2,313,3,72
1,1998,0,2,,3,
2,2000,0,2,,3,
2,1935,2,1,,3,
2,1966,5,1,,3,
2,1953,2,1,521,3,48
2,1944,2,1,,3,
1,1970,3,1,,3,
2,1996,5,1,,3,
1,1959,1,1,,3,
2,1963,1,1,,3,
1,1990,5,1,243,3,203
1,1996,5,1,,3,
1,1948,3,2,159,3,158
2,1967,2,2,521,3,
1,1992,5,2,999,3,94
1,1978,1,1,312,3,532
2,1979,1,1,313,3,382
2,2007,0,1,,3,
1,2011,0,1,,3,
1,1952,1,2,873,3,
2,1957,1,1,442,3,147.7
1,1983,5,2,761,3,
2,1937,2,1,,3,
1,1945,1,2,,4,
2,1947,1,2,,4,
2,1972,5,2,930,4,108
1,1950,2,1,,3,
1,1969,1,1,,3,
2,1971,1,1,,3,
1,1996,5,2,,3,
1,1970,1,1,,3,
2,1975,1,1,289,3,50
1,1996,5,1,,3,
1,2005,0,1,,3,
1,1965,1,1,442,3,
2,1968,1,1,,3,
1,2000,0,1,,3,
1,2005,0,1,,3,
1,1949,1,1,,3,
2,1954,1,1,,3,
1,1962,1,1,411,3,422.5
2,1964,1,1,,3,
2,1993,5,1,,3,
2,1997,0,1,,3,
1,1961,1,2,251,3,679.2
2,1965,1,1,252,3,598.2
2,1992,5,1,,3,
2,1994,5,1,,3,
2,2000,0,1,,3,
2,1939,2,1,,3,
1,1941,1,2,,3,
2,1949,1,1,,3,
1,1941,1,2,,3,
2,1950,1,1,,3,
2,1985,5,2,,3,
1,1946,1,2,,3,
2,1953,1,2,721,3,
1,1972,1,2,442,3,
2,1975,1,2,,3,
2,2002,0,2,,3,
1,2006,0,2,,3,
1,1973,3,1,851,3,211.5
1,1952,1,1,873,3,211
2,1950,1,1,,3,
1,1978,1,2,312,3,453.6
2,1945,2,1,,3,
1,1964,1,2,753,3,229.5
2,1967,1,1,721,3,140
2,1994,5,2,,3,
1,1966,1,2,792,3,247
2,1968,1,1,,3,
1,1996,5,2,,3,
1,1998,0,2,,3,
1,1978,1,1,510,3,583.3
2,1978,1,1,521,3,67
2,2006,0,2,,3,
2,2009,0,2,,3,
1,2011,0,2,,3,
1,1948,3,1,,3,
2,1979,1,1,,3,
1,1978,1,1,312,3,391.6
1,2011,0,1,,3,
2,2013,0,1,,3,
2,1935,2,2,,3,
1,1961,1,2,873,3,411.6
2,1991,5,2,,3,
2,1998,0,2,,3,
1,1973,2,2,312,3,350.7
2,2003,0,2,,3,
1,1940,2,2,,3,
1,2006,0,2,,3,
1,1952,1,2,851,3,265.8
2,1954,1,2,,3,
1,1951,1,2,510,3,
2,1952,1,2,951,3,150
2,1947,2,1,,3,
1,1972,3,1,,3,
1,1968,3,1,,3,
1,1938,1,1,873,3,
2,1942,1,1,,3,
2,1940,2,1,,3,
1,1989,5,2,,3,
1,1943,1,1,,3,
2,1950,1,1,951,3,56
1,1981,1,1,239,3,424
2,1984,1,1,,3,
2,2013,0,1,,3,
1,1935,1,2,,3,
2,1937,1,2,,3,
1,1959,1,1,772,3,412
2,1959,1,1,722,3,
2,1997,0,1,,3,
2,1949,2,1,,3,
2,1971,5,2,281,1,782
1,1952,1,1,799,3,204
2,1956,1,1,,3,
2,1981,1,2,243,3,268.2
2,1983,1,2,530,3,
1,1976,1,2,510,3,358.3
1,2011,0,2,,3,
1,1983,1,2,530,3,
1,2012,0,2,,3,
1,2013,0,2,,3,
1,1944,1,1,942,3,90
2,1949,1,1,,3,
1,1947,1,1,151,3,162
2,1946,1,1,,3,
2,1974,1,2,,3,
1,1979,1,2,874,3,224.5
1,1981,1,2,873,3,258.3
1,1975,1,2,411,3,325
1,2006,0,2,,3,
2,2008,0,2,,3,
2,1983,1,2,521,3,
2,1987,1,2,313,3,157
2,2014,0,2,,3,
2,1941,2,1,521,3,
1,1972,5,1,762,3,233.1
1,1943,1,1,,3,
2,1945,1,1,,3,
1,1973,1,2,429,3,
2,1973,1,2,999,3,
2,2002,0,2,,3,
2,2003,0,2,,3,
1,1975,1,1,441,3,
2,1979,1,1,,3,
1,2004,0,1,,3,
2,1947,2,1,,3,
1,2012,0,1,,3,
1,1951,1,1,953,3,
2,1955,1,1,951,3,110
2,1983,1,1,422,3,
1,1981,1,2,239,3,296.5
1,2013,0,2,,3,
2,1945,2,1,,3,
2,1972,3,2,441,3,
2,1995,5,2,,3,
2,1997,0,2,,3,
1,1959,1,1,,3,
2,1963,1,1,421,3,158
1,1986,1,1,411,1,360
1,1989,5,2,411,3,113
2,1984,1,1,,1,
1,1957,1,1,873,3,
2,1960,1,1,530,3,180
2,1993,5,1,,3,
1,1941,1,2,611,3,
2,1943,1,2,,3,
1,1975,5,2,611,3,
1,1975,1,1,274,3,
2,1982,1,1,313,3,287
2,2006,0,1,,3,
1,2008,0,1,,3,
1,1973,1,2,151,3,573.3
2,1946,2,1,,3,
2,1974,1,2,,3,
1,2007,0,2,,3,
1,2013,0,2,,3,
1,1955,1,2,530,3,
2,1955,1,1,530,3,
2,1977,5,2,243,3,158
1,1964,1,1,422,3,
2,1963,1,1,930,3,138
2,1990,5,2,,3,
1,1991,5,2,930,3,188
2,1932,2,1,,3,
2,1941,2,2,,3,
2,1941,2,1,991,3,
1,1955,1,1,930,3,269
2,1955,1,1,,3,
2,1990,5,2,312,3,203
1,1948,1,2,,3,
2,1961,1,1,510,3,686.4
2,1992,5,2,,3,
1,1971,1,1,822,3,148.3
2,1967,1,1,,3,
1,1999,0,1,,3,
2,2003,0,1,,3,
1,2005,0,1,,3,
1,1971,1,2,862,7,260
2,1972,1,2,246,7,191
2,2005,0,2,,7,
1,2007,0,2,,7,
1,1971,1,1,431,3,230
2,1970,1,1,930,3,149.5
2,2006,0,1,,3,
1,1971,1,1,873,3,
2,1974,1,1,510,3,100
2,2001,0,1,,3,
2,2006,0,1,,3,
1,1976,1,2,313,3,358.3
2,1978,1,2,432,3,
1,2006,0,2,,3,
1,2008,0,2,,3,
1,1973,1,2,855,3,596.5
2,1973,1,2,246,3,176.5
1,1996,5,2,,3,
2,2001,0,2,,3,
1,1970,1,1,761,3,
2,1973,1,1,320,3,158
2,2001,0,1,,3,
1,2003,0,1,,3,
1,1970,1,1,411,3,417
2,1972,1,1,,3,
1,2007,0,1,,3,
1,1936,1,1,,3,
2,1942,1,1,,3,
2,1978,1,1,259,3,100
1,2002,0,1,,3,
2,1934,2,2,,3,
1,1970,1,1,311,3,529.1
2,1999,0,1,,3,
2,2003,0,1,,3,
1,1969,1,2,753,3,398.6
2,1978,1,2,243,3,250
1,1999,0,2,,3,
1,2001,0,2,,3,
1,1934,1,1,,3,
2,1937,1,1,,3,
1,1969,1,2,772,3,
2,1974,1,2,521,3,120
2,2006,0,2,,3,
2,2008,0,2,,3,
1,1972,5,2,510,3,396.7
1,1954,1,2,873,3,269.6
2,1967,1,1,441,3,133.3
2,1986,1,1,,3,
2,1990,5,2,285,3,163
1,1984,1,1,863,3,421.5
2,2011,0,1,,3,
1,1971,1,1,873,6,
2,1971,1,1,864,6,128.2
1,1999,0,1,,6,
1,2000,0,1,,6,
1,1974,1,2,921,3,255
2,1974,1,2,314,3,70
2,2000,0,2,,3,
2,2004,0,2,,3,
1,1966,1,1,399,3,416.7
2,1971,1,1,429,3,
1,1995,5,1,,3,
1,1996,5,1,,3,
1,1969,1,2,245,3,270.8
2,1974,1,2,254,3,100
2,2001,0,2,,3,
2,2003,0,2,,3,
1,2010,0,2,,3,
1,1968,1,2,899,3,159.1
2,1976,1,2,930,3,110
2,1940,2,2,,3,
1,1957,1,2,863,3,284
2,1961,1,2,530,3,100
1,1986,5,2,441,3,190
2,1939,2,2,,3,
1,1962,1,2,851,3,382.5
2,1962,1,2,312,3,175
2,1993,5,2,,3,
2,1934,2,1,,3,
2,1936,2,2,,3,
1,1971,1,1,773,3,
2,1974,1,1,313,3,40
1,1999,0,1,,3,
2,2001,0,1,,3,
2,1934,2,2,,3,
2,1971,1,1,521,3,165
1,1964,1,1,139,3,240
1,1962,1,2,,3,
2,1969,1,2,,3,
2,1998,0,2,,3,
2,1940,2,1,,3,
1,1977,1,1,521,3,300
2,1981,1,1,,3,
1,1937,1,2,,3,
2,1953,1,1,,3,
1,1976,5,2,792,3,
2,1964,1,2,530,3,
2,1995,5,2,,3,
1,1960,1,2,510,3,
1,1950,1,2,,3,
2,1957,1,1,,3,
2,1930,2,1,,3,
2,1937,2,1,,3,
2,1923,2,1,,3,
2,1943,2,1,,3,
2,1974,3,1,991,3,80
1,2005,0,1,,3,
2,1931,2,1,,3,
1,1954,1,1,852,3,124
2,1958,1,1,441,3,
1,1983,1,1,311,3,308.3
2,1985,1,2,313,3,103
2,1932,3,1,,3,
1,1964,1,1,941,3,35
2,1963,1,1,941,3,60
2,2004,0,1,,3,
2,1965,3,2,521,3,156
2,1997,0,2,,3,
2,2001,0,2,,3,
2,1968,3,1,953,3,91
2,1994,5,2,422,3,70
2,1996,5,2,,3,
2,1996,5,2,,3,
1,1957,1,2,,3,
2,1961,1,1,243,3,180
1,1984,5,2,930,3,220
2,1933,2,1,,3,
1,1925,2,1,,3,
1,1969,1,1,312,3,426.7
2,1974,1,1,,3,
2,2003,0,1,,3,
2,2005,0,1,,3,
1,1967,1,1,,3,
2,1967,1,2,521,3,120
1,1992,5,2,442,3,60
1,1997,0,2,,3,
2,1947,5,1,951,3,
2,1944,2,1,941,3,75
2,1966,5,2,,3,
1,1943,1,1,,3,
2,1951,1,1,,3,
1,1974,1,1,239,3,170
2,1973,1,1,953,3,110
1,1999,0,1,,3,
1,2000,0,1,,3,
2,1938,2,1,,3,
1,1951,1,1,,3,
2,1954,1,1,,3,
2,1981,5,1,313,3,180
1,1983,1,2,286,3,
2,1983,1,2,399,3,
2,2009,0,2,,3,
2,2011,0,2,,3,
1,1943,1,2,149,3,608
2,1949,1,1,510,3,100
1,1928,2,1,,3,
1,1953,1,2,941,3,138
2,1955,1,2,,3,
1,2001,0,2,,3,
1,1975,3,2,873,3,
1,1952,1,2,771,3,
2,1952,1,2,,3,
2,1989,5,1,222,1,224.7
2,1991,5,1,247,1,225
2,1993,5,2,,3,
2,1953,3,2,,3,
1,1948,1,2,,3,
2,1956,1,2,,3,
1,1974,1,1,510,3,
2,1974,1,1,259,3,200
2,2002,0,1,,3,
1,2007,0,1,,3,
2,1951,3,1,,3,
1,1937,1,1,,3,
2,1939,1,1,,3,
2,1967,3,1,,3,
1,1932,1,1,,3,
2,1939,1,1,,3,
2,1961,3,1,,3,
1,1998,0,1,,3,
1,1965,3,1,922,3,250
1,2006,0,1,,3,
1,1947,3,2,,3,
2,1981,5,2,,3,
2,1983,5,2,246,3,214.2
1,1937,1,2,,3,
2,1946,1,1,,3,
2,1978,1,1,,2,
1,1974,5,2,510,3,333.3
1,1978,1,2,510,2,297.6
1,2007,0,1,,2,
2,1955,2,1,941,3,144.5
1,1937,1,2,,3,
2,1950,1,2,,3,
1,1956,2,2,,3,
2,1945,3,2,,3,
2,1947,3,1,,3,
2,1947,5,1,,3,
2,1945,3,1,,3,
2,1939,2,1,,3,
1,1933,6,1,,3,
2,1937,2,1,941,3,20
2,1944,2,1,,3,
2,2000,0,1,,3,
1,1950,3,2,,3,
1,1989,5,2,832,3,174.7
1,1933,3,2,,3,
2,1943,2,1,999,3,20
1,1947,3,1,873,3,
1,1981,5,2,761,3,247.3
2,1935,2,1,,3,
1,1996,5,1,,3,
2,1969,3,1,422,3,
2,2000,0,1,,3,
1,1958,1,2,,3,
2,1961,1,2,521,3,130
2,1991,5,2,330,3,130
2,1993,5,2,,3,
1,1952,1,1,873,3,101
2,1959,1,1,521,3,
2,1978,1,2,,3,
2,1986,5,1,399,3,143.3
1,1979,1,2,854,3,250
2,2007,0,2,,3,
2,2010,0,2,,3,
2,1962,3,1,441,3,
2,1983,5,1,442,3,
1,1985,5,1,442,3,
1,1955,1,2,873,3,
2,1962,1,1,510,3,150
1,1961,1,1,,3,
2,1964,1,1,521,3,
2,1990,5,1,312,3,198.3
1,1994,5,1,,3,
1,1967,5,2,,3,
1,1940,1,1,,3,
2,1946,1,1,441,3,
1,1951,1,2,941,3,126
2,1954,1,2,441,3,
1,1979,1,2,761,2,370.5
2,1981,5,2,,3,
2,1980,1,2,313,2,138
1,2009,0,2,,2,
1,1933,2,1,,3,
2,1937,3,1,,3,
1,1938,2,1,,3,
1,1940,2,1,,3,
1,1961,3,2,773,3,204
2,1991,5,2,422,3,134.4
1,1993,5,2,952,3,
1,1938,1,1,,3,
2,1940,1,1,,3,
1,1941,1,1,,3,
2,1940,1,1,,3,
1,1971,5,1,773,3,312
2,1941,2,1,,3,
2,1935,2,1,,3,
2,1970,3,2,259,3,138
1,2004,0,2,,3,
1,1941,1,2,,3,
2,1947,1,2,441,3,
1,1952,1,1,730,3,174.3
2,1956,1,1,421,3,29
2,1993,5,1,,3,
1,1950,1,1,281,3,208.3
2,1956,1,1,,3,
2,1978,1,1,,3,
2,1980,1,1,259,3,80
1,1984,5,1,862,3,240
1,1978,1,2,842,3,360
1,1980,1,1,251,3,333.3
2,2012,0,2,,3,
1,1972,1,1,873,3,368
2,1971,1,1,930,3,196.2
1,1996,5,2,,3,
1,1938,1,2,521,3,
2,1946,1,2,,3,
1,1971,1,1,,3,
2,1985,1,1,286,3,
1,1949,1,2,942,3,120
2,1956,1,2,941,3,110
2,1926,2,2,,3,
1,1965,1,1,312,3,400
2,1967,1,1,922,3,
1,1996,5,2,,3,
1,1999,0,2,,3,
2,1963,2,1,,2,
2,1978,1,2,953,2,73
1,1998,0,2,,2,
1,1976,1,2,612,2,219
2,2008,0,2,,2,
1,2013,0,2,,2,
2,1949,1,2,941,3,
1,1943,1,2,,3,
1,1942,1,1,,3,
2,1939,1,1,,3,
1,1960,1,1,791,3,194.7
2,1969,1,1,442,3,108
2,1997,0,1,,3,
1,1953,2,2,,3,
1,1988,5,2,822,3,189
1,1962,1,2,930,3,188
2,1969,1,2,952,3,128
2,1999,0,2,,3,
2,2004,0,2,,3,
1,1956,1,1,875,3,
2,1956,1,1,421,3,159.6
1,1972,1,1,743,3,
2,1977,1,1,930,3,148
2,2005,0,1,,3,
1,1969,1,1,853,3,433
2,1974,1,1,422,3,
2,1999,0,1,,3,
2,1941,2,1,,3,
1,1970,1,2,151,3,400
2,1974,1,1,442,3,89.6
1,2003,0,1,,3,
1,2008,0,1,,3,
1,1972,1,1,312,3,392
2,1975,1,1,,3,
2,1999,0,1,,3,
1,2003,0,1,,3,
2,1943,2,1,,3,
1,1943,1,2,,3,
2,1949,1,2,,3,
1,1968,1,1,930,3,244.1
2,1968,1,1,,3,
2,2001,0,1,,3,
2,2003,0,1,,3,
1,2009,0,1,,3,
2,1957,3,1,952,3,
2,1949,2,1,721,3,
1,1955,1,1,159,3,
2,1954,1,2,441,3,
1,1985,3,2,313,3,193
2,1925,2,2,,3,
2,2010,0,2,,3,
1,1945,1,1,942,3,117.8
2,1951,1,1,,3,
2,1977,5,1,312,3,250
1,1974,1,2,854,3,267.6
2,1943,2,1,,3,
2,1977,1,2,247,3,176
1,2006,0,2,,3,
2,2011,0,2,,3,
1,1962,1,1,873,3,
2,1966,1,1,930,3,151.5
2,1989,5,1,313,3,118.9
1,1991,5,1,,3,
1,1949,3,2,875,3,
2,1929,2,2,,3,
2,1959,1,1,821,3,
1,1982,5,2,,3,
1,1986,5,2,821,3,
1,1955,1,2,821,3,
2,1952,2,1,,3,
1,1981,5,1,,3,
2,1938,2,1,,3,
1,1936,1,1,,3,
2,1941,1,1,,3,
1,1935,3,1,,3,
2,1957,2,2,,3,
1,1938,1,1,,3,
2,1942,1,1,611,3,
1,1937,1,2,611,3,
2,1938,1,2,611,3,
1,1956,1,2,141,2,
2,1956,1,2,,2,
2,1946,2,1,952,3,54
1,1943,1,1,611,3,
2,1948,1,1,611,3,
1,1941,4,2,611,3,
1,1935,1,1,611,3,
2,1940,1,1,611,3,
1,1938,1,2,,3,
2,1944,1,2,,3,
1,1937,1,1,611,3,
2,1945,1,1,611,3,
1,1974,5,1,854,3,250
2,1935,2,1,,3,
2,1925,2,1,,3,
1,1930,2,1,,3,
2,1959,3,1,910,4,
1,2007,0,2,,4,
1,1935,2,2,,4,
1,1965,1,1,892,4,350
2,1968,1,1,930,4,125
2,1990,5,1,245,4,171.6
2,1957,3,1,429,4,
2,1997,0,2,,4,
1,1933,2,2,,4,
2,1934,2,1,,4,
1,1956,3,2,,4,
1,1939,2,2,,4,
1,1970,1,2,892,4,276.6
2,1970,1,2,930,4,92
1,1996,5,2,,4,
1,1998,0,2,,4,
2,1969,3,1,,4,
2,1998,0,1,,4,
2,1955,2,1,,4,
1,1947,1,1,530,4,
2,1954,1,1,530,4,
1,1979,1,2,922,4,
2,1907,2,1,,4,
2,1979,1,2,,4,
1,2007,0,2,,4,
2,2013,0,2,,4,
1,1955,1,2,422,4,
2,1960,1,2,429,4,
2,1982,1,2,999,4,77
2,1985,5,2,313,4,160.8
2,1936,2,2,941,4,
1,1981,1,2,855,4,217
1,1959,1,2,891,4,225.7
2,1961,1,2,930,4,110.4
2,1984,5,2,285,1,
1,1961,1,2,252,4,630.8
2,1967,1,2,252,4,585.8
2,1994,5,2,,4,
1,2001,0,2,,4,
2,1968,2,1,941,4,153.5
2,1997,0,1,,4,
2,2001,0,1,,4,
2,2001,0,1,,4,
1,1939,1,2,,4,
2,1946,1,2,,4,
2,1928,2,2,,4,
2,1967,3,1,247,4,200
2,1999,0,1,,4,
1,2001,0,1,,4,
2,1939,2,1,,4,
2,1939,2,1,,4,
2,1935,2,2,,4,
1,1958,1,2,274,4,
2,1968,1,2,399,4,125
1,1989,5,2,,4,
2,1993,5,2,,4,
1,1962,1,1,,4,
2,1963,1,1,,4,
2,1992,5,1,442,4,24
1,1936,2,2,613,4,
1,1940,1,2,611,4,
2,1948,1,2,611,4,
1,1953,1,1,141,4,100
2,1956,1,1,,4,
1,1963,1,2,311,4,470
2,1969,1,2,311,4,427.1
1,1995,5,2,,4,
2,1997,0,2,,4,
1,1930,1,1,,4,
2,1931,1,1,,4,
2,1983,1,2,,4,
1,1984,5,1,,4,
1,1956,3,1,,4,
1,1979,1,2,231,4,613.3
2,2010,0,2,,4,
2,1935,2,1,,4,
2,1952,2,2,,4,
1,1933,1,2,,4,
2,1939,1,2,,4,
1,1942,1,2,,4,
2,1946,1,2,,4,
1,1935,1,2,,4,
2,1940,1,1,,4,
1,1971,1,1,752,5,374.58
2,1973,1,2,,5,
2,2010,0,2,,5,
1,1967,1,2,141,4,334.3
2,1971,1,2,930,4,107
2,2003,0,2,,4,
1,1975,3,2,311,4,338.3
1,2006,0,2,,4,
1,1933,2,2,,4,
1,1980,1,1,252,3,246.6
2,1958,2,1,,4,
2,1981,1,1,247,3,238.7
1,2012,0,1,,4,
1,1968,1,1,312,4,263
2,1969,1,1,,4,
2,1996,5,1,,4,
1,2000,0,1,,4,
2,1941,2,1,,4,
2,1933,2,1,,4,
1,1934,1,1,,4,
2,1937,1,1,,4,
2,1936,2,1,,4,
2,1972,3,2,530,4,120
2,1998,0,2,,4,
2,1939,2,1,,4,
2,1933,2,1,,4,
1,1970,1,2,231,4,
2,1973,1,2,,4,
1,2003,0,2,,4,
1,2003,0,2,,4,
2,2009,0,2,,4,
1,1958,1,2,873,4,130
2,1964,1,2,,4,
2,1993,5,2,,4,
2,1955,3,1,952,4,
1,1952,1,1,930,4,170.4
2,1953,1,1,,4,
1,1979,1,2,442,4,255.4
2,1980,1,2,,4,
2,2008,0,2,,4,
1,2013,0,2,,4,
1,1945,1,1,941,4,154.4
2,1947,1,1,,4,
1,1945,2,2,873,4,70
1,1958,1,1,762,4,150.4
2,1961,1,1,422,4,
2,1992,5,1,,4,
1,1985,5,1,,4,
1,1948,5,2,,4,
2,1933,2,1,,4,
2,1928,2,2,,4,
1,1940,1,1,,4,
2,1942,1,1,,4,
1,1938,1,1,999,4,20
2,1941,1,1,,4,
1,1955,1,1,952,4,
2,1958,1,1,441,4,
1,1986,5,2,,4,
1,1992,5,2,,4,
2,1943,1,1,941,4,20
2,1935,2,1,,3,
1,1935,2,2,,4,
2,1933,6,2,,4,
1,1936,1,1,,4,
2,1939,1,1,,4,
1,1967,1,1,873,4,150
2,1972,1,1,259,4,136.6
2,1999,0,1,,4,
2,1954,2,2,442,4,
2,1984,1,2,,4,
2,1986,1,2,320,4,250
1,1982,1,2,399,4,163
1,1952,1,1,941,4,165.8
2,1961,1,1,922,4,117
1,1949,3,1,,4,
2,1949,2,1,952,4,20
2,1945,2,2,,4,
1,1932,1,1,941,4,25
2,1938,1,1,941,4,20
2,1940,2,1,,4,
1,1947,1,2,772,4,
2,1952,1,2,,4,
1,1967,3,2,,4,
1,2003,0,2,,4,
2,1933,2,1,,4,
2,1981,1,2,530,4,
1,1980,1,2,751,4,282
1,2007,0,2,,4,
2,2010,0,2,,4,
2,1981,5,2,422,4,
1,1974,1,2,,4,
2,1977,1,2,254,4,183.3
2,2008,0,2,,4,
1,1951,1,1,873,4,
2,1956,1,1,952,4,
2,1982,5,2,253,4,183.3
1,1986,5,2,,4,
1,1966,1,2,922,4,250
2,1972,1,2,521,4,
1,1995,5,2,,4,
1,1953,1,2,611,4,
2,1954,1,1,248,4,40
2,1980,5,1,223,4,200
1,1969,1,2,941,4,265.8
2,1991,5,2,,4,
2,1995,5,2,,4,
2,1965,1,2,510,4,510
1,1936,1,2,,4,
2,1941,1,2,,4,
1,1972,5,2,,4,
2,1969,1,2,999,4,
2,1998,0,2,,4,
2,1999,0,2,,4,
1,1968,1,2,999,4,
1,1965,1,2,441,4,
2,1966,1,2,442,4,
1,1989,5,2,,4,
2,1992,5,2,399,4,140
1,2004,0,2,,4,
1,1968,3,2,773,4,155
1,1941,1,1,422,4,
2,1945,1,1,,4,
1,1971,1,2,510,2,500
2,1976,1,2,,2,
2,2004,0,2,,2,
2,2011,0,2,,2,
1,1946,1,1,,4,
2,1950,1,1,,4,
1,1971,5,1,221,4,416.6
1,1973,1,2,233,4,369.9
2,1982,1,2,,4,
1,2011,0,2,,4,
2,2013,0,2,,4,
2,1930,2,1,,4,
2,1933,2,1,530,4,
1,1972,5,1,773,4,175
1,1944,1,1,,4,
2,1954,1,1,,4,
1,1953,1,1,,4,
2,1947,1,1,,4,
2,1981,5,1,254,4,120
1,1954,1,2,,4,
2,1960,1,2,,4,
2,1987,5,2,259,4,60
1,1967,1,2,773,4,
2,1969,1,2,,4,
2,1998,0,2,,4,
1,2004,0,2,,4,
1,1960,3,2,942,4,250
1,1987,5,2,,4,
1,1990,5,2,,4,
2,1939,2,2,,4,
1,1961,1,1,910,2,
2,1967,1,1,441,2,165.2
1,1956,1,2,,4,
2,1956,1,2,,4,
2,1991,5,2,,4,
1,1944,1,1,,4,
2,1944,1,1,,4,
1,1966,5,1,921,4,
2,1935,2,2,,4,
2,1939,2,1,,4,
1,1931,1,1,,4,
2,1929,1,1,,4,
1,1943,2,1,,4,
2,1975,5,1,,4,
1,1965,1,2,,4,
2,1966,1,2,930,4,158.3
2,1989,1,2,832,4,230
2,1998,0,2,,4,
1,1955,1,1,612,4,
2,1955,1,1,510,4,150
2,1984,1,1,,4,
1,1993,5,1,,4,
1,1981,1,1,442,4,
1,1957,1,2,942,4,100
2,1962,1,2,941,4,80
1,1948,1,1,,4,
2,1953,1,1,,4,
1,1942,1,2,,4,
2,1933,1,2,,4,
2,1939,2,2,,4,
1,1960,1,2,941,4,150
2,1969,1,2,,4,
1,1962,1,1,899,4,
2,1966,1,1,521,4,
1,1990,5,1,441,4,30
1,1972,1,2,753,4,
2,1973,1,1,,4,
2,2003,0,1,,4,
2,2005,0,1,,4,
2,2007,0,1,,4,
2,2008,0,1,,4,
2,2011,0,1,,4,
1,1955,5,2,941,4,65
1,1954,1,2,,4,
2,1948,1,2,,4,
1,1943,1,1,,4,
2,1950,1,1,,4,
1,1945,1,1,941,4,20
2,1941,1,1,,4,
1,1949,1,2,611,4,
2,1953,1,2,,4,
1,1978,5,2,239,4,210
2,1921,2,2,,4,
1,1969,3,2,611,4,
2,2003,0,2,,4,
1,1934,1,1,,2,
2,1939,1,2,,2,
1,1967,5,2,999,2,60
1,1947,1,2,,4,
2,1955,1,2,,4,
1,1937,1,2,,4,
2,1939,1,2,,4,
1,1998,0,2,,4,
1,1970,1,1,330,4,150
2,1973,1,1,,4,
2,2001,0,1,,4,
2,2008,0,1,,4,
1,1976,1,2,312,4,292
2,1977,1,2,422,4,
2,2004,0,2,,4,
2,2007,0,2,,4,
1,2009,0,2,,4,
1,1940,1,2,,4,
2,1956,1,2,,4,
1,1974,1,2,312,4,396.7
2,1984,1,2,311,4,216.7
2,1974,1,1,,4,
2,2012,0,1,,4,
1,1963,1,2,312,4,393.3
2,1966,1,1,,4,
2,1991,5,2,,4,
2,1952,1,2,,4,
1,1946,1,2,873,4,140
2,1935,2,1,,4,
1,1937,1,2,,4,
2,1940,1,2,,4,
2,1941,3,1,,4,
2,1935,3,1,,4,
2,1952,2,2,421,4,
1,1976,5,2,910,4,
2,1946,1,1,259,4,20
1,1943,1,1,392,4,20
2,1963,1,1,,4,
2,1989,5,1,,4,
1,1996,5,1,,4,
1,1962,1,1,120,4,1678.7
1,1949,1,2,,4,
2,1956,1,1,442,4,134.6
2,1981,1,1,,4,
2,1983,1,1,252,4,413.2
1,1981,1,2,841,4,299.5
1,2011,0,2,,4,
1,1976,1,1,741,4,
1,2012,0,1,,4,
2,2013,0,2,,4,
1,1960,1,1,,4,
2,1959,1,1,,4,
1,1998,0,1,,4,
2,1964,2,1,314,4,160
1,1988,5,1,236,4,172
1,1989,5,1,930,4,160
1,1939,1,1,,4,
2,1943,1,1,,4,
1,1942,1,1,999,4,20
2,1943,1,1,442,4,20
2,1938,2,2,,4,
1,1988,5,2,510,4,232.5
2,1940,2,1,,4,
2,1951,1,2,722,4,
1,1945,1,2,,4,
1,1979,5,2,241,4,1250
1,1940,1,2,,4,
2,1945,1,2,,4,
1,1931,1,1,,4,
2,1933,1,1,,4,
1,1973,1,2,910,4,
2,1976,1,2,930,4,
2,2000,0,2,,4,
1,2005,0,2,,4,
2,2009,0,2,,4,
1,1942,1,1,510,4,
2,1942,1,1,951,4,54.4
1,1948,1,1,941,4,90.7
2,1950,1,1,,4,
1,1981,5,2,930,4,188.75
1,1981,1,1,,4,
2,1987,1,1,,4,
1,2010,0,1,,4,
1,2013,0,1,,4,
1,1930,1,1,,4,
2,1938,1,1,,4,
1,1992,5,1,,4,
2,1962,4,1,521,2,153
1,1988,5,1,,2,
1,1989,5,1,,2,
1,1938,2,1,,4,
2,1932,2,2,,4,
2,1936,2,1,,4,
1,1944,1,2,,4,
2,1951,1,2,,4,
1,1942,1,2,942,4,
2,1947,1,2,,4,
2,1951,1,2,,4,
1,1948,1,2,,4,
2,1937,2,1,,4,
1,1965,1,1,141,4,
2,1968,1,1,530,4,206.7
1,1998,0,1,,4,
1,1967,5,2,,4,
2,1960,3,2,,4,
1,1943,3,1,,4,
1,1933,1,2,,4,
2,1932,1,2,,4,
1,1940,1,2,,4,
2,1944,1,2,,4,
1,1936,1,1,,4,
2,1942,1,1,,4,
2,1956,1,2,,4,
1,1984,5,2,999,4,99
1,1951,1,2,,4,
2,1959,1,1,930,4,
1,1978,5,2,761,4,207.5
2,1962,1,2,941,4,98
1,1961,1,2,,4,
2,1987,5,2,313,4,146.6
